response,predictor,coef,se,t,p,lower,upper
Warming rate,Intercept,0.18680051184188856,0.027853923161545956,6.706434521215959,2.987911258344837e-10,0.1322068224452585,0.24139420123851862
Warming rate,Latitudinal zone,0.09476202936531138,0.016998497601939683,5.5747296957878305,9.852358353531263e-8,0.0614449740655096,0.12807908466511314
Warming rate,Elevation (km),0.018026987882605115,0.008321401699486315,2.1663403034272375,0.03171143135838795,0.0017170405516119362,0.03433693521359829
Warming rate,Intercept,0.18400961398183838,0.03374281465496429,5.453297712814442,1.7654597752499906e-7,0.11787369725810838,0.2501455307055684
Warming rate,Absolute latitude (°),0.002304950971061505,6.080208899194632e-4,3.790907531757359,2.097707993833985e-4,0.0011132300268193573,0.003496671915303653
Warming rate,Elevation (km),0.017929877253672875,0.008844983125828883,2.0271239637885263,0.04424960859339675,5.937103270482642e-4,0.03526604418029748
Thermophilization rate,Intercept,0.0945856138282588,0.03854204327355327,2.454089243710684,0.015156908263129659,0.019043209012094386,0.1701280186444232
Thermophilization rate,Latitudinal zone,-0.06820405474002361,0.02352116886226766,-2.899688154929904,0.004241063909903499,-0.11430554571006822,-0.022102563769979003
Thermophilization rate,Elevation (km),3.814458077389199e-5,0.011514493758674546,0.0033127449259465216,0.9973607945108305,-0.02253026318622822,0.022606552347776
Thermophilization rate,Intercept,0.13267423449389676,0.04440324257204502,2.987940222577902,0.003235006996718125,0.04564387905268852,0.219704589935105
Thermophilization rate,Absolute latitude (°),-0.002591737764729846,8.001140195337147e-4,-3.2392105393181865,0.0014478879930642516,-0.004159961243015927,-0.0010235142864437653
Thermophilization rate,Elevation (km),-0.003431896053792885,0.011639394499179504,-0.29485176862377244,0.7684755435931119,-0.02624510927218471,0.019381317164598944
Temperature tracking score_1,Intercept,0.6141921487351624,0.17135860032219896,3.5842504991305986,4.4406784318604966e-4,0.2783292921036524,0.9500550053666723
Temperature tracking score_1,Latitudinal zone,-0.01336113770661214,0.0030877568966502476,-4.327133953164178,2.60201317394988e-5,-0.019413141224046627,-0.007309134189177655
Temperature tracking score_1,Elevation (km),-0.009618277335195088,0.04491812386766967,-0.21412909772302297,0.8307091823768918,-0.09765780011582764,0.07842124544543747
Temperature tracking score_2,Intercept,0.6141921487351624,0.17135860032219896,3.5842504991305986,4.4406784318604966e-4,0.2783292921036524,0.9500550053666723
Temperature tracking score_2,Absolute latitude (°),-0.01336113770661214,0.0030877568966502476,-4.327133953164178,2.60201317394988e-5,-0.019413141224046627,-0.007309134189177655
Temperature tracking score_2,Elevation (km),-0.009618277335195088,0.04491812386766967,-0.21412909772302297,0.8307091823768918,-0.09765780011582764,0.07842124544543747
