study,latin_name,historic_low_limit,historic_mean_limit,historic_upper_limit,modern_low_limit,modern_mean_elevation,modern_upper_limit,change_low_limit,change_mean_elevation,change_upper_limit
Bassler et al. 2013 plant,Picea abies,NA,NA,1440,NA,NA,1406,NA,NA,-34
Bassler et al. 2013 plant,Pimpinella major,NA,NA,830,NA,NA,690,NA,NA,-140
Bassler et al. 2013 plant,Pinus mugo,NA,NA,1450,NA,NA,742,NA,NA,-708
Bassler et al. 2013 plant,Plantago major,NA,NA,1050,NA,NA,1154,NA,NA,104
Bassler et al. 2013 plant,Poa annua,NA,NA,1454,NA,NA,1159,NA,NA,-295
Bassler et al. 2013 plant,Poa nemoralis,NA,NA,1120,NA,NA,824,NA,NA,-296
Bassler et al. 2013 plant,Polygonatum verticillatum,NA,NA,1352,NA,NA,1319,NA,NA,-33
Bassler et al. 2013 plant,Populus tremula,NA,NA,1005,NA,NA,1216,NA,NA,211
Bassler et al. 2013 plant,Potentilla erecta,NA,NA,1350,NA,NA,1333,NA,NA,-17
Bassler et al. 2013 plant,Prenanthes purpurea,NA,NA,1450,NA,NA,1323,NA,NA,-127
Bassler et al. 2013 plant,Prunella vulgaris,NA,NA,820,NA,NA,1087,NA,NA,267
Bassler et al. 2013 plant,Quercus robur,NA,NA,700,NA,NA,656,NA,NA,-44
Bassler et al. 2013 plant,Ranunculus acris,NA,NA,1270,NA,NA,1161,NA,NA,-109
Bassler et al. 2013 plant,Ranunculus lanuginosus,NA,NA,1160,NA,NA,1007,NA,NA,-153
Bassler et al. 2013 plant,Ranunculus platanifolius,NA,NA,1450,NA,NA,1136,NA,NA,-314
Bassler et al. 2013 plant,Ranunculus repens,NA,NA,1450,NA,NA,1087,NA,NA,-363
Bassler et al. 2013 plant,Rhinanthus minor,NA,NA,1060,NA,NA,1161,NA,NA,101
Bassler et al. 2013 plant,Rubus fruticosus,NA,NA,1060,NA,NA,1216,NA,NA,156
Bassler et al. 2013 plant,Rubus idaeus,NA,NA,1450,NA,NA,1396,NA,NA,-54
Bassler et al. 2013 plant,Rumex acetosella,NA,NA,1450,NA,NA,1182,NA,NA,-268
Bassler et al. 2013 plant,Rumex arifolius,NA,NA,1120,NA,NA,1333,NA,NA,213
Bassler et al. 2013 plant,Rumex obtusifolius,NA,NA,1220,NA,NA,1161,NA,NA,-59
Bassler et al. 2013 plant,Sagina procumbens,NA,NA,790,NA,NA,824,NA,NA,34
Bassler et al. 2013 plant,Salix aurita,NA,NA,1450,NA,NA,1350,NA,NA,-100
Bassler et al. 2013 plant,Salix caprea,NA,NA,730,NA,NA,1216,NA,NA,486
Bassler et al. 2013 plant,Salix cinerea,NA,NA,730,NA,NA,1298,NA,NA,568
Bassler et al. 2013 plant,Sambucus nigra,NA,NA,750,NA,NA,827,NA,NA,77
Bassler et al. 2013 plant,Sambucus racemosa,NA,NA,1050,NA,NA,1157,NA,NA,107
Bassler et al. 2013 plant,Sanguisorba officinalis,NA,NA,740,NA,NA,1298,NA,NA,558
Bassler et al. 2013 plant,Sanicula europaea,NA,NA,1020,NA,NA,965,NA,NA,-55
Bassler et al. 2013 plant,Scirpus sylvaticus,NA,NA,1050,NA,NA,944,NA,NA,-106
Bassler et al. 2013 plant,Scrophularia nodosa,NA,NA,1050,NA,NA,873,NA,NA,-177
Bassler et al. 2013 plant,Senecio ovatus,NA,NA,1040,NA,NA,1298,NA,NA,258
Bassler et al. 2013 plant,Silene dioica,NA,NA,1450,NA,NA,1177,NA,NA,-273
Bassler et al. 2013 plant,Silene nutans,NA,NA,1110,NA,NA,1420,NA,NA,310
Bassler et al. 2013 plant,Silene vulgaris,NA,NA,1450,NA,NA,1406,NA,NA,-44
Bassler et al. 2013 plant,Soldanella montana,NA,NA,1450,NA,NA,1380,NA,NA,-70
Bassler et al. 2013 plant,Solidago virgaurea,NA,NA,1450,NA,NA,1108,NA,NA,-342
Bassler et al. 2013 plant,Sorbus aucuparia,NA,NA,1450,NA,NA,1406,NA,NA,-44
Bassler et al. 2013 plant,Spergularia rubra,NA,NA,770,NA,NA,1154,NA,NA,384
Bassler et al. 2013 plant,Stachys sylvatica,NA,NA,820,NA,NA,1007,NA,NA,187
Bassler et al. 2013 plant,Stellaria alsine,NA,NA,1060,NA,NA,824,NA,NA,-236
Bassler et al. 2013 plant,Stellaria graminea,NA,NA,1450,NA,NA,1161,NA,NA,-289
Bassler et al. 2013 plant,Stellaria nemorum,NA,NA,1450,NA,NA,1287,NA,NA,-163
Bassler et al. 2013 plant,Taraxacum  Hamata,NA,NA,1450,NA,NA,1161,NA,NA,-289
Bassler et al. 2013 plant,Tephroseris crispa,NA,NA,1170,NA,NA,926,NA,NA,-244
Bassler et al. 2013 plant,Trientalis europaea,NA,NA,1450,NA,NA,1420,NA,NA,-30
Bassler et al. 2013 plant,Trifolium repens,NA,NA,1450,NA,NA,1154,NA,NA,-296
Bassler et al. 2013 plant,Tussilago farfara,NA,NA,750,NA,NA,824,NA,NA,74
Bassler et al. 2013 plant,Urtica dioica,NA,NA,1300,NA,NA,1090,NA,NA,-210
Bassler et al. 2013 plant,Vaccinium myrtillus,NA,NA,1450,NA,NA,1406,NA,NA,-44
Bassler et al. 2013 plant,Vaccinium oxycoccos,NA,NA,1050,NA,NA,742,NA,NA,-308
Bassler et al. 2013 plant,Vaccinium uliginosum,NA,NA,1350,NA,NA,742,NA,NA,-608
Bassler et al. 2013 plant,Valeriana officinalis,NA,NA,780,NA,NA,664,NA,NA,-116
Bassler et al. 2013 plant,Veronica chamaedrys,NA,NA,1450,NA,NA,1161,NA,NA,-289
Bassler et al. 2013 plant,Veronica montana,NA,NA,1050,NA,NA,750,NA,NA,-300
Bassler et al. 2013 plant,Veronica officinalis,NA,NA,1350,NA,NA,1105,NA,NA,-245
Bassler et al. 2013 plant,Viola palustris,NA,NA,1340,NA,NA,824,NA,NA,-516
Bassler et al. 2013 plant,Viola reichenbachiana,NA,NA,1230,NA,NA,1136,NA,NA,-94
Becker-Scarpitta et al. 2019,Acer_spicatum,NA,205,NA,NA,209,NA,NA,4,NA
Becker-Scarpitta et al. 2019,Actaea_sp,NA,165,NA,NA,383,NA,NA,218,NA
Becker-Scarpitta et al. 2019,Amelanchier_sp,NA,345,NA,NA,291,NA,NA,-54,NA
Becker-Scarpitta et al. 2019,Aralia_nudicaulis,NA,151,NA,NA,193,NA,NA,42,NA
Becker-Scarpitta et al. 2019,Athyrium_filix_femina,NA,146,NA,NA,258,NA,NA,112,NA
Becker-Scarpitta et al. 2019,Chimaphila_umbellata,NA,182,NA,NA,168,NA,NA,-14,NA
Becker-Scarpitta et al. 2019,Clintonia_borealis,NA,211,NA,NA,215,NA,NA,4,NA
Becker-Scarpitta et al. 2019,Coptis_trifolia,NA,279,NA,NA,342,NA,NA,63,NA
Becker-Scarpitta et al. 2019,Cornus_alternifolia,NA,172,NA,NA,126,NA,NA,-46,NA
Becker-Scarpitta et al. 2019,Cornus_canadensis,NA,222,NA,NA,243,NA,NA,21,NA
Becker-Scarpitta et al. 2019,Cornus_sericea,NA,102,NA,NA,139,NA,NA,37,NA
Becker-Scarpitta et al. 2019,Corylus_cornuta,NA,153,NA,NA,170,NA,NA,17,NA
Becker-Scarpitta et al. 2019,Diervilla_lonicera,NA,88,NA,NA,117,NA,NA,29,NA
Becker-Scarpitta et al. 2019,Dryopteris_carthusiana,NA,300,NA,NA,259,NA,NA,-41,NA
Becker-Scarpitta et al. 2019,Galium_triflorum,NA,154,NA,NA,369,NA,NA,215,NA
Becker-Scarpitta et al. 2019,Gymnocarpium_disjunctum,NA,199,NA,NA,149,NA,NA,-50,NA
Becker-Scarpitta et al. 2019,Linnaea_borealis,NA,260,NA,NA,177,NA,NA,-83,NA
Becker-Scarpitta et al. 2019,Lonicera_canadensis,NA,151,NA,NA,154,NA,NA,3,NA
Becker-Scarpitta et al. 2019,Maianthemum_canadense,NA,199,NA,NA,167,NA,NA,-32,NA
Becker-Scarpitta et al. 2019,Mitella_nuda,NA,150,NA,NA,241,NA,NA,91,NA
Becker-Scarpitta et al. 2019,Nabalus_sp,NA,148,NA,NA,180,NA,NA,32,NA
Becker-Scarpitta et al. 2019,Osmundastrum_cinnamomeum,NA,343,NA,NA,115,NA,NA,-228,NA
Becker-Scarpitta et al. 2019,Oxalis_acetosella,NA,363,NA,NA,274,NA,NA,-89,NA
Becker-Scarpitta et al. 2019,Phegopteris_connectilis,NA,184,NA,NA,141,NA,NA,-43,NA
Becker-Scarpitta et al. 2019,Pilosella_caespitosa,NA,112,NA,NA,116,NA,NA,4,NA
Becker-Scarpitta et al. 2019,Pteridium_aquilinum,NA,138,NA,NA,150,NA,NA,12,NA
Becker-Scarpitta et al. 2019,Pyrola_sp,NA,184,NA,NA,136,NA,NA,-48,NA
Becker-Scarpitta et al. 2019,Ribes_sp,NA,284,NA,NA,317,NA,NA,33,NA
Becker-Scarpitta et al. 2019,Rubus_sp,NA,138,NA,NA,136,NA,NA,-2,NA
Becker-Scarpitta et al. 2019,Sambucus_racemosa,NA,155,NA,NA,263,NA,NA,108,NA
Becker-Scarpitta et al. 2019,Sorbus_sp,NA,265,NA,NA,272,NA,NA,7,NA
Becker-Scarpitta et al. 2019,Streptopus_lanceolatus,NA,159,NA,NA,132,NA,NA,-27,NA
Becker-Scarpitta et al. 2019,Taxus_canadensis,NA,142,NA,NA,175,NA,NA,33,NA
Becker-Scarpitta et al. 2019,Trientalis_borealis,NA,178,NA,NA,176,NA,NA,-2,NA
Becker-Scarpitta et al. 2019,Viburnum_edule,NA,194,NA,NA,279,NA,NA,85,NA
Bergamini et al. 2009,Amblyodon dealbatus,NA,1536,NA,NA,2033,NA,NA,497,NA
Bergamini et al. 2009,Apometzgeria pubescens,NA,1027,NA,NA,1077,NA,NA,50,NA
Bergamini et al. 2009,Bazzania flaccida,NA,1041,NA,NA,982,NA,NA,-59,NA
Bergamini et al. 2009,Bazzania tricrenata,NA,1552,NA,NA,1502,NA,NA,-50,NA
Bergamini et al. 2009,Bazzania trilobata,NA,987,NA,NA,1017,NA,NA,30,NA
Bergamini et al. 2009,Blindia acuta,NA,1413,NA,NA,1547,NA,NA,134,NA
Bergamini et al. 2009,Buxbaumia viridis,NA,1195,NA,NA,1271,NA,NA,76,NA
Bergamini et al. 2009,Catoscopium nigritum,NA,1646,NA,NA,1956,NA,NA,310,NA
Bergamini et al. 2009,Cinclidium stygium,NA,1358,NA,NA,1738,NA,NA,380,NA
Bergamini et al. 2009,Climacium dendroides,NA,751,NA,NA,1125,NA,NA,374,NA
Bergamini et al. 2009,Dicranella heteromalla,NA,822,NA,NA,738,NA,NA,-84,NA
Bergamini et al. 2009,Dicranum montanum,NA,1019,NA,NA,880,NA,NA,-139,NA
Bergamini et al. 2009,Dicranum tauricum,NA,1348,NA,NA,1361,NA,NA,13,NA
Bergamini et al. 2009,Diplophyllum obtusifolium,NA,1170,NA,NA,1104,NA,NA,-66,NA
Bergamini et al. 2009,Diplophyllum taxifolium,NA,1949,NA,NA,2033,NA,NA,84,NA
Bergamini et al. 2009,Encalypta ciliata,NA,1767,NA,NA,1591,NA,NA,-176,NA
Bergamini et al. 2009,Entodon schleicheri,NA,770,NA,NA,572,NA,NA,-198,NA
Bergamini et al. 2009,Ephemerum minutissimum,NA,761,NA,NA,563,NA,NA,-198,NA
Bergamini et al. 2009,Hamatocaulis vernicosus,NA,856,NA,NA,1096,NA,NA,240,NA
Bergamini et al. 2009,Homalia trichomanoides,NA,621,NA,NA,533,NA,NA,-88,NA
Bergamini et al. 2009,Hookeria lucens,NA,1293,NA,NA,926,NA,NA,-367,NA
Bergamini et al. 2009,Hylocomium splendens,NA,987,NA,NA,1228,NA,NA,241,NA
Bergamini et al. 2009,Hyophila involuta,NA,412,NA,NA,414,NA,NA,2,NA
Bergamini et al. 2009,Kurzia pauciflora,NA,899,NA,NA,1158,NA,NA,259,NA
Bergamini et al. 2009,Lophocolea heterophylla,NA,923,NA,NA,857,NA,NA,-66,NA
Bergamini et al. 2009,Lophozia incisa,NA,1305,NA,NA,1487,NA,NA,182,NA
Bergamini et al. 2009,Lophozia longidens,NA,1347,NA,NA,1583,NA,NA,236,NA
Bergamini et al. 2009,Lophozia obtusa,NA,1452,NA,NA,1573,NA,NA,121,NA
Bergamini et al. 2009,Lophozia opacifolia,NA,2267,NA,NA,2159,NA,NA,-108,NA
Bergamini et al. 2009,Meesia triquetra,NA,1081,NA,NA,1481,NA,NA,400,NA
Bergamini et al. 2009,Meesia uliginosa,NA,1774,NA,NA,2031,NA,NA,257,NA
Bergamini et al. 2009,Metzgeria furcata,NA,886,NA,NA,707,NA,NA,-179,NA
Bergamini et al. 2009,Nowellia curvifolia,NA,1033,NA,NA,860,NA,NA,-173,NA
Bergamini et al. 2009,Odontoschisma denudatum,NA,957,NA,NA,1212,NA,NA,255,NA
Bergamini et al. 2009,Orthotrichum diaphanum,NA,441,NA,NA,487,NA,NA,46,NA
Bergamini et al. 2009,Orthotrichum lyellii,NA,776,NA,NA,663,NA,NA,-113,NA
Bergamini et al. 2009,Orthotrichum obtusifolium,NA,706,NA,NA,780,NA,NA,74,NA
Bergamini et al. 2009,Pseudocalliergon trifarium,NA,915,NA,NA,1705,NA,NA,790,NA
Bergamini et al. 2009,Ptilidium ciliare,NA,1604,NA,NA,1580,NA,NA,-24,NA
Bergamini et al. 2009,Ptilidium pulcherrimum,NA,1343,NA,NA,1188,NA,NA,-155,NA
Bergamini et al. 2009,Rhytidiadelphus loreus,NA,992,NA,NA,1124,NA,NA,132,NA
Bergamini et al. 2009,Rhytidiadelphus squarrosus,NA,1278,NA,NA,1125,NA,NA,-153,NA
Bergamini et al. 2009,Rhytidiadelphus subpinnatus,NA,750,NA,NA,897,NA,NA,147,NA
Bergamini et al. 2009,Rhytidiadelphus triquetrus,NA,786,NA,NA,1142,NA,NA,356,NA
Bergamini et al. 2009,Scapania nemorea,NA,863,NA,NA,835,NA,NA,-28,NA
Bergamini et al. 2009,Scorpidium scorpioides,NA,675,NA,NA,1184,NA,NA,509,NA
Bergamini et al. 2009,Sphagnum compactum,NA,1685,NA,NA,1546,NA,NA,-139,NA
Bergamini et al. 2009,Splachnum sphaericum,NA,1796,NA,NA,1856,NA,NA,60,NA
Bergamini et al. 2009,Tayloria froelichiana,NA,2180,NA,NA,2315,NA,NA,135,NA
Bergamini et al. 2009,Thamnobryum alopecurum,NA,615,NA,NA,578,NA,NA,-37,NA
Bergamini et al. 2009,Trichocolea tomentella,NA,700,NA,NA,757,NA,NA,57,NA
Brusca et al. 2013,Agave schottii,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Arceuthobium vaginatum,NA,NA,NA,NA,NA,NA,190.5487805,NA,0
Brusca et al. 2013,Arctostaphylos pungens,NA,NA,NA,NA,NA,NA,0,NA,132.3170732
Brusca et al. 2013,Aristida ternipes,NA,NA,NA,NA,NA,NA,244.2073171,NA,223.1707317
Brusca et al. 2013,Bouteloua curtipendula,NA,NA,NA,NA,NA,NA,0,NA,-296.3414634
Brusca et al. 2013,Brickellia californica,NA,NA,NA,NA,NA,NA,164.3292683,NA,-81.70731707
Brusca et al. 2013,Ceanothus fendleri,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Dasylirion wheeleri,NA,NA,NA,NA,NA,NA,164.3292683,NA,0
Brusca et al. 2013,Garrya wrightii,NA,NA,NA,NA,NA,NA,0,NA,-103.6585366
Brusca et al. 2013,Juniperus deppeana,NA,NA,NA,NA,NA,NA,313.4146341,NA,0
Brusca et al. 2013,Lotus greenei,NA,NA,NA,NA,NA,NA,272.2560976,NA,593.2926829
Brusca et al. 2013,Mimosa aculeaticarpa,NA,NA,NA,NA,NA,NA,244.2073171,NA,-337.5
Brusca et al. 2013,Muhlenbergia emersleyi,NA,NA,NA,NA,NA,NA,164.3292683,NA,-172.5609756
Brusca et al. 2013,Muhlenbergia porteri,NA,NA,NA,NA,NA,NA,130.4878049,NA,-355.1829268
Brusca et al. 2013,Nolina microcarpa,NA,NA,NA,NA,NA,NA,164.3292683,NA,-81.70731707
Brusca et al. 2013,Packera neomexicana,NA,NA,NA,NA,NA,NA,659.1463415,NA,0
Brusca et al. 2013,Pinus strobiformis,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Pseudotsuga menzesii,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Pteridium aquilinum,NA,NA,NA,NA,NA,NA,90.54878049,NA,0
Brusca et al. 2013,Quercus arizonica,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Quercus emoryi,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Quercus gambelii,NA,NA,NA,NA,NA,NA,252.4390244,NA,0
Brusca et al. 2013,Quercus hypoleucoides,NA,NA,NA,NA,NA,NA,-25.91463415,NA,0
Brusca et al. 2013,Robinia neomexicana,NA,NA,NA,NA,NA,NA,0,NA,0
Brusca et al. 2013,Thalictrum fendleri,NA,NA,NA,NA,NA,NA,450.304878,NA,0
Brusca et al. 2013,Urochloa arizonica,NA,NA,NA,NA,NA,NA,245.7317073,NA,272.2560976
Brusca et al. 2013,Yucca madrensis,NA,NA,NA,NA,NA,NA,0,NA,-103.6585366
Campos-Cerqueira & Aide 2017,Eleutherodactylus antillensis,39,NA,618,84,NA,216,45,NA,-402
Campos-Cerqueira & Aide 2017,Eleutherodactylus brittoni,39,NA,740,84,NA,800,45,NA,60
Campos-Cerqueira & Aide 2017,Eleutherodactylus cochranae,39,NA,222,84,NA,245,45,NA,23
Campos-Cerqueira & Aide 2017,Eleutherodactylus coqui,39,NA,1045,84,NA,1049,45,NA,4
Campos-Cerqueira & Aide 2017,Eleutherodactylus gryllus,39,NA,1045,654,NA,1049,615,NA,4
Campos-Cerqueira & Aide 2017,Eleutherodactylus hedricki,329,NA,649,362,NA,1020,33,NA,371
Campos-Cerqueira & Aide 2017,Eleutherodactylus locustus,191,NA,1045,333,NA,1049,142,NA,4
Campos-Cerqueira & Aide 2017,Eleutherodactylus portoricensis,207,NA,1045,508,NA,1049,301,NA,4
Campos-Cerqueira & Aide 2017,Eleutherodactylus richmondi,39,NA,1045,654,NA,800,615,NA,-245
Campos-Cerqueira & Aide 2017,Eleutherodactylus unicolor,908,NA,1045,523,NA,1049,-385,NA,4
Campos-Cerqueira & Aide 2017,Eleutherodactylus wightmanae,39,NA,1015,84,NA,1049,45,NA,34
Campos-Cerqueira & Aide 2017,L. albilabris,39,NA,1045,84,NA,1049,45,NA,4
Campos-Cerqueira et al. 2017,Coccyzus minor,181,NA,190,98,NA,245,-83,NA,55
Campos-Cerqueira et al. 2017,Coccyzus vieillot,152,NA,763,152,NA,986,0,NA,223
Campos-Cerqueira et al. 2017,Coereba flaveola,151,NA,1011,151,NA,1011,0,NA,0
Campos-Cerqueira et al. 2017,Euphonia musica,641,NA,684,118,NA,800,-523,NA,116
Campos-Cerqueira et al. 2017,Geotrygon montana,184,NA,669,118,NA,998,-66,NA,329
Campos-Cerqueira et al. 2017,Icterus portoricensis,153,NA,183,153,NA,422,0,NA,239
Campos-Cerqueira et al. 2017,Loxigilla portoricensis,151,NA,1011,151,NA,1011,0,NA,0
Campos-Cerqueira et al. 2017,Margarops fuscatus,152,NA,968,152,NA,856,0,NA,-112
Campos-Cerqueira et al. 2017,Megascops nudipes,200,NA,776,95,NA,909,-105,NA,133
Campos-Cerqueira et al. 2017,Melanerpes portoricensis,151,NA,990,151,NA,1037,0,NA,47
Campos-Cerqueira et al. 2017,Myiarchus antillarum,151,NA,564,151,NA,761,0,NA,197
Campos-Cerqueira et al. 2017,Nesospingus speculiferus,152,NA,968,152,NA,1046,0,NA,78
Campos-Cerqueira et al. 2017,Patagioenas squamosa,151,NA,1011,151,NA,1011,0,NA,0
Campos-Cerqueira et al. 2017,Setophaga angelae,660,NA,980,539,NA,1026,-121,NA,46
Campos-Cerqueira et al. 2017,Spindalis portoricensis,152,NA,979,152,NA,1072,0,NA,93
Campos-Cerqueira et al. 2017,Todus mexicanus,152,NA,993,152,NA,997,0,NA,4
Campos-Cerqueira et al. 2017,Turdus plumbeus,151,NA,763,151,NA,772,0,NA,9
Campos-Cerqueira et al. 2017,Tyrannus dominicensis,151,NA,999,151,NA,999,0,NA,0
Campos-Cerqueira et al. 2017,Vireo alitiloquus,151,NA,755,151,NA,800,0,NA,45
Campos-Cerqueira et al. 2017,Zenaida aurita,152,NA,776,152,NA,296,0,NA,-480
Cannone & Pignatti 2014,Agrostis rupestris,NA,NA,NA,NA,NA,NA,0,23,-170
Cannone & Pignatti 2014,Alchemilla pentaphyllea,NA,NA,NA,NA,NA,NA,-115,40,60
Cannone & Pignatti 2014,Avenula versicolor,NA,NA,NA,NA,NA,NA,0,-125,-80
Cannone & Pignatti 2014,Carex curvula,NA,NA,NA,NA,NA,NA,0,-20,-72
Cannone & Pignatti 2014,Cerastium cerastioides,NA,NA,NA,NA,NA,NA,-7,-45,13
Cannone & Pignatti 2014,Cerastium uniflorum,NA,NA,NA,NA,NA,NA,0,-6,128
Cannone & Pignatti 2014,Doronicum clusi,NA,NA,NA,NA,NA,NA,-145,-126,-70
Cannone & Pignatti 2014,Gentiana bavarica,NA,NA,NA,NA,NA,NA,-80,-35,-55
Cannone & Pignatti 2014,Gnaphalium supinum,NA,NA,NA,NA,NA,NA,-35,8,-155
Cannone & Pignatti 2014,Homogyne alpina,NA,NA,NA,NA,NA,NA,0,-50,-65
Cannone & Pignatti 2014,Kalmia Procumbens,NA,NA,NA,NA,NA,NA,0,-103,-210
Cannone & Pignatti 2014,Leontodon helveticus,NA,NA,NA,NA,NA,NA,45,16,-125
Cannone & Pignatti 2014,Luzula alpino-pilosa,NA,NA,NA,NA,NA,NA,-250,-120,-70
Cannone & Pignatti 2014,Luzula lutea,NA,NA,NA,NA,NA,NA,55,145,205
Cannone & Pignatti 2014,Nardus stricta,NA,NA,NA,NA,NA,NA,-170,23,15
Cannone & Pignatti 2014,Oxyria digyna,NA,NA,NA,NA,NA,NA,-133,-114,13
Cannone & Pignatti 2014,Potentilla aurea,NA,NA,NA,NA,NA,NA,10,-150,-150
Cannone & Pignatti 2014,Ranunculus glacialis,NA,NA,NA,NA,NA,NA,-125,-67,128
Cannone & Pignatti 2014,Rhododendron ferrugineum,NA,NA,NA,NA,NA,NA,-35,19,-80
Cannone & Pignatti 2014,Salix herbacea,NA,NA,NA,NA,NA,NA,0,-20,-125
Cannone & Pignatti 2014,Sedum alpestre,NA,NA,NA,NA,NA,NA,-35,30,63
Cannone & Pignatti 2014,Senecio carniolicus,NA,NA,NA,NA,NA,NA,-35,-18,-80
Cannone & Pignatti 2014,Soldanella pusilla,NA,NA,NA,NA,NA,NA,0,8,-40
Cannone & Pignatti 2014,Vaccinium uliginosum,NA,NA,NA,NA,NA,NA,-100,-10,-140
Cannone & Pignatti 2014,Veronica alpina,NA,NA,NA,NA,NA,NA,-45,20,128
Chen et al. 2009,Abaciscus tristis,1440,NA,1885,1440,NA,1885,0,NA,0
Chen et al. 2009,Abraxas intervacuata,1265,NA,1885,1885,NA,2260,620,NA,375
Chen et al. 2009,Abraxas invasata,1265,NA,2260,1885,NA,1885,620,NA,-375
Chen et al. 2009,Achrosis lithosiaria,1440,NA,1775,1440,NA,1885,0,NA,110
Chen et al. 2009,Achrosis recitata,1265,NA,1885,1885,NA,1885,620,NA,0
Chen et al. 2009,Achrosis rigorata,1440,NA,1885,1440,NA,1885,0,NA,0
Chen et al. 2009,Acolutha albipunctata,1885,NA,2685,2260,NA,2260,375,NA,-425
Chen et al. 2009,Acolutha flavivitta,1440,NA,1885,1440,NA,1440,0,NA,-445
Chen et al. 2009,Agathia succedanea,1265,NA,1885,1775,NA,1775,510,NA,-110
Chen et al. 2009,Alcis maculata,1440,NA,2260,1775,NA,2685,335,NA,425
Chen et al. 2009,Alcis praevariegata,1265,NA,2685,1265,NA,2685,0,NA,0
Chen et al. 2009,Amblychia cavimargo,1440,NA,1885,1440,NA,1885,0,NA,0
Chen et al. 2009,Amblychia infoveata,1440,NA,1650,1440,NA,1885,0,NA,235
Chen et al. 2009,Antimimistis attenuata,1265,NA,1265,1265,NA,2260,0,NA,995
Chen et al. 2009,Apophyga altapona,2685,NA,2685,2685,NA,2685,0,NA,0
Chen et al. 2009,Apophyga apona,1440,NA,1440,1440,NA,1440,0,NA,0
Chen et al. 2009,Astygisa waterstradti,1775,NA,1885,1265,NA,1265,-510,NA,-620
Chen et al. 2009,Axinoptera penataran,1265,NA,2260,1885,NA,2260,620,NA,0
Chen et al. 2009,Berta anteplaga,1440,NA,1885,1265,NA,1265,-175,NA,-620
Chen et al. 2009,Borbacha altipardaria,1265,NA,1885,1885,NA,1885,620,NA,0
Chen et al. 2009,Bornealcis expleta,1265,NA,2260,1265,NA,2260,0,NA,0
Chen et al. 2009,Bornealcis versicolor,2260,NA,3315,2260,NA,3315,0,NA,0
Chen et al. 2009,Brabira emerita,1440,NA,2685,1650,NA,2260,210,NA,-425
Chen et al. 2009,Bracca maculosa,1265,NA,1440,1885,NA,1885,620,NA,445
Chen et al. 2009,Calletaera subexpressa,1440,NA,2260,1885,NA,1885,445,NA,-375
Chen et al. 2009,Calletaera subgravata,1265,NA,1885,1440,NA,1885,175,NA,0
Chen et al. 2009,Carbia calefacta,1650,NA,1885,1775,NA,2260,125,NA,375
Chen et al. 2009,Catoria proicyrta,1440,NA,1885,2260,NA,2685,820,NA,800
Chen et al. 2009,Chiasmia avitusaria,1265,NA,1885,1885,NA,1885,620,NA,0
Chen et al. 2009,Chiasmia nora,1265,NA,1885,2685,NA,2685,1420,NA,800
Chen et al. 2009,Chloroclystis obturgescens,1440,NA,2685,1885,NA,2260,445,NA,-425
Chen et al. 2009,Chorodna pseudobolima,1440,NA,2260,1440,NA,1885,0,NA,-375
Chen et al. 2009,Cleora mjobergi,1440,NA,2685,1650,NA,2685,210,NA,0
Chen et al. 2009,Cleora pendleburyi,1265,NA,2685,1440,NA,2685,175,NA,0
Chen et al. 2009,Cleora tenebrata,1265,NA,1440,1265,NA,1885,0,NA,445
Chen et al. 2009,Collix blosyra,1440,NA,1440,1885,NA,2685,445,NA,1245
Chen et al. 2009,Collix intrepida,1440,NA,2685,2260,NA,2260,820,NA,-425
Chen et al. 2009,Collix mesopora,1440,NA,1885,1885,NA,2685,445,NA,800
Chen et al. 2009,Comibaena albimarginata,1440,NA,1885,1440,NA,2685,0,NA,800
Chen et al. 2009,Comostola orestias,1265,NA,1885,1440,NA,1440,175,NA,-445
Chen et al. 2009,Comostola turgescens,1265,NA,1775,1265,NA,1440,0,NA,-335
Chen et al. 2009,Cyclophora carsoni,1265,NA,2685,1440,NA,1440,175,NA,-1245
Chen et al. 2009,Cyclophora dimerites,1440,NA,1775,1650,NA,1650,210,NA,-125
Chen et al. 2009,Cyclophora hirtipalpis,1265,NA,2685,1885,NA,2685,620,NA,0
Chen et al. 2009,Cyclophora lowi,1440,NA,2685,1775,NA,2260,335,NA,-425
Chen et al. 2009,Dalima mjobergi,1440,NA,1885,1775,NA,2260,335,NA,375
Chen et al. 2009,Dalima patularia,1265,NA,2260,1265,NA,2260,0,NA,0
Chen et al. 2009,Dasyboarmia delineata,1265,NA,2260,1265,NA,1885,0,NA,-375
Chen et al. 2009,Dasyboarmia isorropha,1440,NA,2685,1440,NA,2260,0,NA,-425
Chen et al. 2009,Dindica alaopis,1265,NA,2685,1265,NA,2260,0,NA,-425
Chen et al. 2009,Diplurodes submontana,1265,NA,1885,1265,NA,2260,0,NA,375
Chen et al. 2009,Diplurodes sugillata,1265,NA,2260,1885,NA,1885,620,NA,-375
Chen et al. 2009,Dooabia lunifera,1440,NA,1885,1885,NA,1885,445,NA,0
